host_id,host_since,host_response_time,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,room_type,bathrooms,accommodates,bedrooms,square_feet,price,number_of_reviews,has_availability,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2349264,2012-05-11,within a day,TRUE,1,1,Oakwood Village,Entire home/apt,1,2,1,495,107,98,TRUE,97,10,10,10,10,9,10
1241161,2011-10-03,within an hour,TRUE,2,2,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,2,0,NA,115,115,TRUE,95,10,9,10,10,10,10
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,1,1,NA,80,12,TRUE,84,9,9,10,9,8,8
2518222,2012-06-01,within an hour,TRUE,3,3,Little Portugal,Entire home/apt,2,5,2,1100,138,117,TRUE,98,10,9,10,10,10,10
211533,2010-08-24,N/A,FALSE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,2,3,1,NA,150,6,TRUE,84,10,8,10,10,10,10
533496,2011-04-25,within a few hours,FALSE,2,2,Junction Area,Entire home/apt,1,2,0,0,87,167,TRUE,97,10,10,10,10,10,10
2549053,2012-06-04,within a few hours,FALSE,2,2,Trinity-Bellwoods,Entire home/apt,1,5,3,NA,225,76,TRUE,99,10,10,10,10,10,10
1559845,2012-01-02,within a day,TRUE,1,1,Dovercourt-Wallace Emerson-Junction,Entire home/apt,1,2,1,1300,143,60,TRUE,95,10,10,10,10,9,9
2588098,2012-06-09,within a few hours,FALSE,1,1,Willowdale East,Entire home/apt,1,2,1,NA,68,6,TRUE,76,9,10,9,8,8,8
1698603,2012-02-04,within an hour,TRUE,2,2,Roncesvalles,Entire home/apt,1,4,1,0,139,50,TRUE,98,10,10,10,10,10,10
1019968,2011-08-25,within an hour,TRUE,3,3,Waterfront Communities-The Island,Entire home/apt,1,5,1,7535,220,142,TRUE,97,10,10,10,10,10,10
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,1,2,1,0,80,8,TRUE,70,9,7,8,8,9,7
2511000,2012-05-31,within a day,FALSE,24,24,Moss Park,Private room,3.5,2,1,NA,76,12,TRUE,83,9,8,9,9,8,9
